label,radial_disp_um,xdisp_mm,ydisp_mm,src_radius_mm,hits_TL,hits_ML,hits_BL,hits_TR,hits_MR,hits_BR

r-400_x-5_y-5_R1.25,-400,-5,-5,1.25,95991236,102162884,102820339,91678948,93744766,99170462

r-400_x-5_y-5_R15,-400,-5,-5,15,95949489,102288567,102763704,91792988,93742010,99248639

r-400_x-5_y-2.5_R1.25,-400,-5,-2.5,1.25,97671256,102236265,101076542,93473379,93802108,97234907

r-400_x-5_y-2.5_R15,-400,-5,-2.5,15,97612227,102364154,101049012,93583684,93780451,97348221

r-400_x-5_y0_R1.25,-400,-5,0,1.25,99351965,102273497,99390996,95343202,93809118,95342358

r-400_x-5_y0_R15,-400,-5,0,15,99301176,102387968,99349888,95411008,93785091,95446252

r-400_x-5_y2.5_R1.25,-400,-5,2.5,1.25,101077378,102250124,97684931,97185430,93797099,93502465

r-400_x-5_y2.5_R15,-400,-5,2.5,15,101014716,102378795,97648888,97324047,93774772,93609172

r-400_x-5_y5_R1.25,-400,-5,5,1.25,102800396,102173900,96028163,99085870,93757400,91698523

r-400_x-5_y5_R15,-400,-5,5,15,102736405,102293686,95990994,99234699,93701482,91786210

r-400_x-2.5_y-5_R1.25,-400,-2.5,-5,1.25,95148045,99785365,101829778,92729357,95577309,100398209

r-400_x-2.5_y-5_R15,-400,-2.5,-5,15,95134929,99917346,101764107,92826070,95561307,100492168

r-400_x-2.5_y-2.5_R1.25,-400,-2.5,-2.5,1.25,96804537,99873556,100142847,94588785,95635545,98421658

r-400_x-2.5_y-2.5_R15,-400,-2.5,-2.5,15,96761204,99992368,100084028,94698501,95603982,98511576

r-400_x-2.5_y0_R1.25,-400,-2.5,0,1.25,98475050,99905879,98481873,96480908,95680836,96494685

r-400_x-2.5_y0_R15,-400,-2.5,0,15,98417242,100007073,98414358,96576568,95617664,96583309

r-400_x-2.5_y2.5_R1.25,-400,-2.5,2.5,1.25,100154923,99871300,96843975,98380338,95644380,94572322

r-400_x-2.5_y2.5_R15,-400,-2.5,2.5,15,100083533,99987014,96803476,98502866,95614564,94699081

r-400_x-2.5_y5_R1.25,-400,-2.5,5,1.25,101827472,99805891,95186476,100348758,95564051,92713730

r-400_x-2.5_y5_R15,-400,-2.5,5,15,101757679,99917662,95150503,100497667,95537993,92833355

r-400_x0_y-5_R1.25,-400,0,-5,1.25,94283896,97510497,100822665,93788324,97430077,101622689

r-400_x0_y-5_R15,-400,0,-5,15,94269438,97617105,100783580,93877536,97403077,101739051

r-400_x0_y-2.5_R1.25,-400,0,-2.5,1.25,95913345,97575615,99171699,95675093,97505064,99587015

r-400_x0_y-2.5_R15,-400,0,-2.5,15,95888958,97704057,99122644,95769974,97477434,99698120

r-400_x0_y0_R1.25,-400,0,0,1.25,97545594,97593863,97555646,97598114,97518815,97588873

r-400_x0_y0_R15,-400,0,0,15,97502994,97707075,97501662,97700746,97470531,97704470

r-400_x0_y2.5_R1.25,-400,0,2.5,1.25,99182154,97572511,95950390,99574161,97503969,95664915

r-400_x0_y2.5_R15,-400,0,2.5,15,99107511,97686520,95878850,99691689,97468154,95751498

r-400_x0_y5_R1.25,-400,0,5,1.25,100821960,97501863,94332607,101604908,97422762,93750525

r-400_x0_y5_R15,-400,0,5,15,100782768,97645242,94304981,101716204,97381456,93885613

r-400_x2.5_y-5_R1.25,-400,2.5,-5,1.25,93408854,95292264,99788571,94801567,99337158,102818172

r-400_x2.5_y-5_R15,-400,2.5,-5,15,93402691,95402585,99728587,94896084,99280931,102940401

r-400_x2.5_y-2.5_R1.25,-400,2.5,-2.5,1.25,94980902,95339222,98183193,96738558,99418035,100734412

r-400_x2.5_y-2.5_R15,-400,2.5,-2.5,15,94957305,95496092,98141843,96854594,99345010,100857220

r-400_x2.5_y0_R1.25,-400,2.5,0,1.25,96579381,95391561,96566139,98732017,99439965,98704788

r-400_x2.5_y0_R15,-400,2.5,0,15,96545314,95502569,96548838,98857661,99380986,98839559

r-400_x2.5_y2.5_R1.25,-400,2.5,2.5,1.25,98182352,95361661,95002758,100740079,99402375,96707145

r-400_x2.5_y2.5_R15,-400,2.5,2.5,15,98135647,95484076,94959914,100867421,99357582,96828868

r-400_x2.5_y5_R1.25,-400,2.5,5,1.25,99811436,95304645,93427961,102826507,99345276,94772699

r-400_x2.5_y5_R15,-400,2.5,5,15,99759264,95390519,93404467,102960030,99302009,94870370

r-400_x5_y-5_R1.25,-400,5,-5,1.25,92522207,93145017,98734286,95793882,101282806,104003324

r-400_x5_y-5_R15,-400,5,-5,15,92478447,93246324,98673907,95910485,101223200,104128601

r-400_x5_y-2.5_R1.25,-400,5,-2.5,1.25,94048008,93182171,97150103,97789233,101350190,101877482

r-400_x5_y-2.5_R15,-400,5,-2.5,15,94028320,93314637,97133696,97921773,101302352,101999519

r-400_x5_y0_R1.25,-400,5,0,1.25,95603418,93215276,95591826,99831471,101376193,99784972

r-400_x5_y0_R15,-400,5,0,15,95569683,93316754,95556447,99941183,101299114,99900169

r-400_x5_y2.5_R1.25,-400,5,2.5,1.25,97191159,93195358,94044356,101903879,101353196,97747331

r-400_x5_y2.5_R15,-400,5,2.5,15,97123342,93303986,94027022,102030954,101283748,97861945

r-400_x5_y5_R1.25,-400,5,5,1.25,98736426,93139268,92512792,104034167,101263532,95761058

r-400_x5_y5_R15,-400,5,5,15,98719084,93250081,92498599,104156620,101213043,95870037

r100_x-5_y-5_R1.25,100,-5,-5,1.25,95624637,101706306,102425838,91278732,93389098,98700382

r100_x-5_y-5_R15,100,-5,-5,15,95591501,101808245,102370551,91385530,93354483,98797976

r100_x-5_y-2.5_R1.25,100,-5,-2.5,1.25,97294659,101768789,100696560,93056882,93464716,96766999

r100_x-5_y-2.5_R15,100,-5,-2.5,15,97266308,101892901,100639580,93169086,93434836,96909807

r100_x-5_y0_R1.25,100,-5,0,1.25,98980396,101807151,99017734,94884689,93470001,94925677

r100_x-5_y0_R15,100,-5,0,15,98926058,101916317,98950636,95004208,93471748,95011163

r100_x-5_y2.5_R1.25,100,-5,2.5,1.25,100695285,101757561,97327865,96746192,93453249,93082190

r100_x-5_y2.5_R15,100,-5,2.5,15,100625900,101878706,97309563,96842591,93426270,93202364

r100_x-5_y5_R1.25,100,-5,5,1.25,102422386,101688319,95658187,98653543,93394707,91274591

r100_x-5_y5_R15,100,-5,5,15,102345256,101815128,95627671,98752340,93346364,91387563

r100_x-2.5_y-5_R1.25,100,-2.5,-5,1.25,94798476,99331713,101448527,92318454,95207583,99924238

r100_x-2.5_y-5_R15,100,-2.5,-5,15,94770160,99468800,101366269,92419144,95159037,100046994

r100_x-2.5_y-2.5_R1.25,100,-2.5,-2.5,1.25,96436226,99401965,99752963,94152016,95276673,97966029

r100_x-2.5_y-2.5_R15,100,-2.5,-2.5,15,96396768,99530767,99708259,94261121,95236362,98078655

r100_x-2.5_y0_R1.25,100,-2.5,0,1.25,98082518,99442547,98096065,96019147,95311958,96056379

r100_x-2.5_y0_R15,100,-2.5,0,15,98046555,99543248,98053836,96136848,95267179,96161354

r100_x-2.5_y2.5_R1.25,100,-2.5,2.5,1.25,99748532,99400112,96453433,97934729,95262588,94169050

r100_x-2.5_y2.5_R15,100,-2.5,2.5,15,99696447,99526734,96416480,98066566,95235890,94276512

r100_x-2.5_y5_R1.25,100,-2.5,5,1.25,101461288,99331278,94838931,99892016,95211337,92313488

r100_x-2.5_y5_R15,100,-2.5,5,15,101390016,99462976,94790219,99992084,95159050,92423430

r100_x0_y-5_R1.25,100,0,-5,1.25,93946396,97062623,100430831,93350585,97058529,101131325

r100_x0_y-5_R15,100,0,-5,15,93913137,97186256,100384497,93438150,97020904,101273400

r100_x0_y-2.5_R1.25,100,0,-2.5,1.25,95555631,97135759,98792911,95242666,97148662,99120473

r100_x0_y-2.5_R15,100,0,-2.5,15,95527709,97245459,98758964,95348867,97113508,99244695

r100_x0_y0_R1.25,100,0,0,1.25,97185635,97157567,97173325,97148364,97139847,97153838

r100_x0_y0_R15,100,0,0,15,97135096,97272241,97123880,97277929,97134166,97265436

r100_x0_y2.5_R1.25,100,0,2.5,1.25,98801433,97118819,95541878,99122020,97127066,95214044

r100_x0_y2.5_R15,100,0,2.5,15,98745029,97240852,95515137,99243748,97096409,95333025

r100_x0_y5_R1.25,100,0,5,1.25,100450556,97059230,93959512,101124876,97062854,93352860

r100_x0_y5_R15,100,0,5,15,100407691,97179040,93950784,101275290,97020348,93434046

r100_x2.5_y-5_R1.25,100,2.5,-5,1.25,93051701,94852866,99400252,94367615,98958787,102328234

r100_x2.5_y-5_R15,100,2.5,-5,15,93035102,94963650,99337779,94459655,98905015,102464618

r100_x2.5_y-2.5_R1.25,100,2.5,-2.5,1.25,94629336,94924336,97808609,96293881,99037485,100269652

r100_x2.5_y-2.5_R15,100,2.5,-2.5,15,94609477,95036756,97757787,96402410,98981275,100389770

r100_x2.5_y0_R1.25,100,2.5,0,1.25,96207188,94957964,96218355,98275875,99023380,98243329

r100_x2.5_y0_R15,100,2.5,0,15,96183361,95056288,96167627,98385694,98993559,98364489

r100_x2.5_y2.5_R1.25,100,2.5,2.5,1.25,97805975,94919291,94634119,100276154,99040453,96262432

r100_x2.5_y2.5_R15,100,2.5,2.5,15,97786446,95025519,94593414,100409575,98983015,96373329

r100_x2.5_y5_R1.25,100,2.5,5,1.25,99418031,94868796,93099149,102344508,98968138,94331075

r100_x2.5_y5_R15,100,2.5,5,15,99369570,94964983,93045996,102486685,98914625,94444251

r100_x5_y-5_R1.25,100,5,-5,1.25,92159346,92707879,98367913,95357118,100889846,103527676

r100_x5_y-5_R15,100,5,-5,15,92145437,92833550,98314182,95477336,100814999,103642248

r100_x5_y-2.5_R1.25,100,5,-2.5,1.25,93699844,92798660,96789841,97352252,100964833,101408136

r100_x5_y-2.5_R15,100,5,-2.5,15,93644332,92913368,96747841,97454082,100890506,101525505

r100_x5_y0_R1.25,100,5,0,1.25,95254027,92800643,95238489,99356882,100971827,99337583

r100_x5_y0_R15,100,5,0,15,95218241,92914552,95207545,99488279,100908375,99444544

r100_x5_y2.5_R1.25,100,5,2.5,1.25,96832651,92779350,93697655,101426335,100969196,97295447

r100_x5_y2.5_R15,100,5,2.5,15,96778801,92894007,93686603,101553288,100898292,97421806

r100_x5_y5_R1.25,100,5,5,1.25,98371170,92734440,92165854,103554769,100888919,95313685

r100_x5_y5_R15,100,5,5,15,98339217,92826770,92144632,103672849,100825621,95427285

r0_x-5_y-5_R1.25,0,-5,-5,1.25,95703608,101790765,102500379,91337707,93448239,98767134

r0_x-5_y-5_R15,0,-5,-5,15,95687347,101897738,102431739,91461509,93432254,98897843

r0_x-5_y-2.5_R1.25,0,-5,-2.5,1.25,97376458,101856783,100788645,93143460,93517061,96892429

r0_x-5_y-2.5_R15,0,-5,-2.5,15,97325638,101971395,100732508,93258373,93488059,96975411

r0_x-5_y0_R1.25,0,-5,0,1.25,99055147,101897016,99093457,94984489,93538102,95011672

r0_x-5_y0_R15,0,-5,0,15,99006368,102000245,99019694,95068783,93511127,95114586

r0_x-5_y2.5_R1.25,0,-5,2.5,1.25,100747481,101868586,97407200,96853420,93536031,93147235

r0_x-5_y2.5_R15,0,-5,2.5,15,100702326,101980988,97370075,96948969,93502796,93266464

r0_x-5_y5_R1.25,0,-5,5,1.25,102489779,101795928,95725399,98723656,93476395,91366056

r0_x-5_y5_R15,0,-5,5,15,102418406,101919037,95688974,98854509,93447674,91474510

r0_x-2.5_y-5_R1.25,0,-2.5,-5,1.25,94867998,99411513,101514331,92385294,95282653,100015876

r0_x-2.5_y-5_R15,0,-2.5,-5,15,94846743,99545106,101455444,92502004,95241875,100142567

r0_x-2.5_y-2.5_R1.25,0,-2.5,-2.5,1.25,96508511,99509476,99834915,94240260,95349857,98055419

r0_x-2.5_y-2.5_R15,0,-2.5,-2.5,15,96478070,99606487,99784757,94366588,95309000,98152436

r0_x-2.5_y0_R1.25,0,-2.5,0,1.25,98179230,99530160,98182466,96106166,95373767,96143433

r0_x-2.5_y0_R15,0,-2.5,0,15,98104832,99640819,98129774,96225965,95331725,96248555

r0_x-2.5_y2.5_R1.25,0,-2.5,2.5,1.25,99827315,99502015,96536627,98039002,95337778,94244397

r0_x-2.5_y2.5_R15,0,-2.5,2.5,15,99785431,99623461,96511654,98157078,95314043,94369359

r0_x-2.5_y5_R1.25,0,-2.5,5,1.25,101532318,99413639,94904936,100014705,95287239,92404887

r0_x-2.5_y5_R15,0,-2.5,5,15,101446637,99551460,94862390,100098029,95238191,92498785

r0_x0_y-5_R1.25,0,0,-5,1.25,94013292,97157440,100523000,93433228,97146480,101235249

r0_x0_y-5_R15,0,0,-5,15,93989874,97255664,100451640,93536683,97094764,101379770

r0_x0_y-2.5_R1.25,0,0,-2.5,1.25,95623906,97220386,98883235,95321643,97210691,99234380

r0_x0_y-2.5_R15,0,0,-2.5,15,95575439,97333658,98829296,95437051,97163652,99366836

r0_x0_y0_R1.25,0,0,0,1.25,97243277,97243748,97244969,97258046,97227666,97236719

r0_x0_y0_R15,0,0,0,15,97186417,97362830,97200869,97345909,97178955,97345839

r0_x0_y2.5_R1.25,0,0,2.5,1.25,98874970,97223954,95647338,99221989,97212083,95294782

r0_x0_y2.5_R15,0,0,2.5,15,98825872,97323291,95591954,99340334,97182060,95414908

r0_x0_y5_R1.25,0,0,5,1.25,100513530,97139461,94048229,101213247,97140046,93423317

r0_x0_y5_R15,0,0,5,15,100469728,97265833,93991023,101328697,97100804,93516337

r0_x2.5_y-5_R1.25,0,2.5,-5,1.25,93131655,94936057,99498714,94456915,99034271,102423967

r0_x2.5_y-5_R15,0,2.5,-5,15,93096125,95036155,99433821,94563274,98983363,102558093

r0_x2.5_y-2.5_R1.25,0,2.5,-2.5,1.25,94700947,95005855,97877075,96377204,99113191,100371281

r0_x2.5_y-2.5_R15,0,2.5,-2.5,15,94653316,95115985,97815605,96492499,99059426,100473092

r0_x2.5_y0_R1.25,0,2.5,0,1.25,96301477,95037470,96291513,98368702,99132479,98355416

r0_x2.5_y0_R15,0,2.5,0,15,96257669,95142943,96247334,98481444,99059499,98465607

r0_x2.5_y2.5_R1.25,0,2.5,2.5,1.25,97887184,95018402,94711955,100387172,99106694,96365644

r0_x2.5_y2.5_R15,0,2.5,2.5,15,97825405,95120542,94663429,100492317,99043441,96480755

r0_x2.5_y5_R1.25,0,2.5,5,1.25,99477817,94942650,93150680,102456021,99042329,94432151

r0_x2.5_y5_R15,0,2.5,5,15,99441155,95053365,93137617,102543918,98998664,94540304

r0_x5_y-5_R1.25,0,5,-5,1.25,92220646,92807072,98443444,95449218,100971407,103626909

r0_x5_y-5_R15,0,5,-5,15,92198899,92903501,98389579,95568246,100899319,103726134

r0_x5_y-2.5_R1.25,0,5,-2.5,1.25,93767667,92846275,96862734,97433706,101026493,101498023

r0_x5_y-2.5_R15,0,5,-2.5,15,93730550,92971401,96825758,97558516,100974867,101612002

r0_x5_y0_R1.25,0,5,0,1.25,95309975,92877821,95305893,99455156,101055182,99436705

r0_x5_y0_R15,0,5,0,15,95275553,92972910,95282150,99558845,101014469,99553905

r0_x5_y2.5_R1.25,0,5,2.5,1.25,96875423,92867924,93751720,101537273,101029258,97409241

r0_x5_y2.5_R15,0,5,2.5,15,96835685,92969894,93747725,101651831,100967691,97508701

r0_x5_y5_R1.25,0,5,5,1.25,98442137,92778371,92234477,103650613,100972078,95420600

r0_x5_y5_R15,0,5,5,15,98408238,92915995,92218106,103770664,100901861,95507699

r100_x-5_y-5_R1.25,100,-5,-5,1.25,95635580,101693624,102419803,91255268,93384910,98689025

r100_x-5_y-5_R15,100,-5,-5,15,95603126,101825738,102341235,91385630,93374371,98792015

r100_x-5_y-2.5_R1.25,100,-5,-2.5,1.25,97294455,101750860,100700900,93055730,93455322,96776069

r100_x-5_y-2.5_R15,100,-5,-2.5,15,97248232,101876999,100662618,93166120,93418242,96891822

r100_x-5_y0_R1.25,100,-5,0,1.25,98979511,101779539,99001199,94904667,93473058,94923235

r100_x-5_y0_R15,100,-5,0,15,98924814,101910444,98956507,94997829,93449157,95038747

r100_x-5_y2.5_R1.25,100,-5,2.5,1.25,100698657,101776034,97327093,96754535,93465857,93064773

r100_x-5_y2.5_R15,100,-5,2.5,15,100653083,101865053,97299293,96855162,93430828,93176677

r100_x-5_y5_R1.25,100,-5,5,1.25,102406984,101697546,95669119,98665902,93392651,91272712

r100_x-5_y5_R15,100,-5,5,15,102340841,101824448,95638248,98764308,93353164,91400091

r100_x-2.5_y-5_R1.25,100,-2.5,-5,1.25,94788977,99322047,101463018,92308519,95191474,99932658

r100_x-2.5_y-5_R15,100,-2.5,-5,15,94778121,99467176,101364054,92432516,95170809,100046803

r100_x-2.5_y-2.5_R1.25,100,-2.5,-2.5,1.25,96428354,99392287,99777266,94155094,95261360,97947834

r100_x-2.5_y-2.5_R15,100,-2.5,-2.5,15,96392137,99543838,99704728,94256128,95242281,98075246

r100_x-2.5_y0_R1.25,100,-2.5,0,1.25,98096973,99430488,98104020,96013994,95301176,96040588

r100_x-2.5_y0_R15,100,-2.5,0,15,98049598,99552297,98064254,96145134,95278658,96148007

r100_x-2.5_y2.5_R1.25,100,-2.5,2.5,1.25,99762669,99398055,96470161,97949810,95279380,94175069

r100_x-2.5_y2.5_R15,100,-2.5,2.5,15,99700427,99512115,96423704,98076170,95244499,94269658

r100_x-2.5_y5_R1.25,100,-2.5,5,1.25,101431057,99346803,94835670,99901674,95216108,92306149

r100_x-2.5_y5_R15,100,-2.5,5,15,101380133,99460280,94791103,100018401,95180022,92421375

r100_x0_y-5_R1.25,100,0,-5,1.25,93941613,97068446,100436996,93327296,97066521,101134365

r100_x0_y-5_R15,100,0,-5,15,93931101,97179280,100380530,93454381,97030328,101263782

r100_x0_y-2.5_R1.25,100,0,-2.5,1.25,95532897,97124884,98812701,95251782,97136155,99131795

r100_x0_y-2.5_R15,100,0,-2.5,15,95491160,97236068,98752476,95358485,97089725,99252661

r100_x0_y0_R1.25,100,0,0,1.25,97172991,97166349,97191300,97161419,97129994,97140852

r100_x0_y0_R15,100,0,0,15,97109189,97257453,97139551,97263578,97123899,97280618

r100_x0_y2.5_R1.25,100,0,2.5,1.25,98803578,97126446,95559234,99116709,97127947,95212492

r100_x0_y2.5_R15,100,0,2.5,15,98757942,97261051,95525693,99239712,97099037,95335045

r100_x0_y5_R1.25,100,0,5,1.25,100464916,97060063,93956572,101129141,97066720,93338411

r100_x0_y5_R15,100,0,5,15,100379779,97185732,93935093,101247732,97033885,93444461

r100_x2.5_y-5_R1.25,100,2.5,-5,1.25,93086815,94850619,99404993,94368250,98964644,102336235

r100_x2.5_y-5_R15,100,2.5,-5,15,93037120,94963734,99356122,94482751,98905590,102477062

r100_x2.5_y-2.5_R1.25,100,2.5,-2.5,1.25,94620848,94913033,97795235,96306169,99036025,100290050

r100_x2.5_y-2.5_R15,100,2.5,-2.5,15,94611956,95032139,97759485,96416714,98988648,100399333

r100_x2.5_y0_R1.25,100,2.5,0,1.25,96212601,94949879,96228039,98244780,99043127,98253336

r100_x2.5_y0_R15,100,2.5,0,15,96187288,95054973,96171396,98407149,98993836,98354064

r100_x2.5_y2.5_R1.25,100,2.5,2.5,1.25,97817269,94903801,94627979,100276133,99039709,96287867

r100_x2.5_y2.5_R15,100,2.5,2.5,15,97767072,95032672,94600716,100424774,98973368,96370997

r100_x2.5_y5_R1.25,100,2.5,5,1.25,99434541,94848761,93085948,102348938,98945319,94338317

r100_x2.5_y5_R15,100,2.5,5,15,99371276,94959996,93046755,102474457,98921515,94444405

r100_x5_y-5_R1.25,100,5,-5,1.25,92153752,92731147,98358382,95364598,100874266,103522948

r100_x5_y-5_R15,100,5,-5,15,92137706,92821692,98310492,95481090,100846175,103652855

r100_x5_y-2.5_R1.25,100,5,-2.5,1.25,93689173,92769447,96788324,97334098,100976623,101391586

r100_x5_y-2.5_R15,100,5,-2.5,15,93661282,92886625,96756270,97468650,100897451,101529804

r100_x5_y0_R1.25,100,5,0,1.25,95239551,92816006,95245053,99372197,100970239,99316291

r100_x5_y0_R15,100,5,0,15,95197119,92900157,95208886,99481451,100927467,99446426

r100_x5_y2.5_R1.25,100,5,2.5,1.25,96805771,92770568,93698438,101404118,100950643,97292249

r100_x5_y2.5_R15,100,5,2.5,15,96764273,92884114,93659172,101570525,100891501,97412980

r100_x5_y5_R1.25,100,5,5,1.25,98392036,92712858,92161198,103563419,100878689,95321409

r100_x5_y5_R15,100,5,5,15,98329953,92812224,92153517,103676573,100813890,95407095

r400_x-5_y-5_R1.25,400,-5,-5,1.25,95403416,101401106,102176991,91022930,93189001,98402620

r400_x-5_y-5_R15,400,-5,-5,15,95374147,101506785,102112603,91128564,93166910,98538407

r400_x-5_y-2.5_R1.25,400,-5,-2.5,1.25,97076130,101479422,100480167,92823320,93232397,96530814

r400_x-5_y-2.5_R15,400,-5,-2.5,15,97014592,101599201,100426880,92899992,93193028,96625337

r400_x-5_y0_R1.25,400,-5,0,1.25,98749096,101501241,98777006,94617937,93269668,94647034

r400_x-5_y0_R15,400,-5,0,15,98716144,101618190,98724924,94727230,93230749,94765232

r400_x-5_y2.5_R1.25,400,-5,2.5,1.25,100457982,101465363,97116886,96484126,93237928,92831078

r400_x-5_y2.5_R15,400,-5,2.5,15,100393278,101594307,97072381,96593142,93225608,92948428

r400_x-5_y5_R1.25,400,-5,5,1.25,102177460,101402962,95456805,98366784,93167333,91049150

r400_x-5_y5_R15,400,-5,5,15,102120154,101507055,95407201,98490488,93152565,91142384

r400_x-2.5_y-5_R1.25,400,-2.5,-5,1.25,94577164,99051289,101205621,92078440,94995401,99647880

r400_x-2.5_y-5_R15,400,-2.5,-5,15,94541042,99174810,101141764,92189986,94971655,99780847

r400_x-2.5_y-2.5_R1.25,400,-2.5,-2.5,1.25,96227966,99137011,99544544,93906699,95074437,97692917

r400_x-2.5_y-2.5_R15,400,-2.5,-2.5,15,96174017,99245285,99487606,94008178,95025351,97805611

r400_x-2.5_y0_R1.25,400,-2.5,0,1.25,97867825,99143097,97889762,95764115,95092575,95770265

r400_x-2.5_y0_R15,400,-2.5,0,15,97807235,99283235,97828182,95888972,95030840,95880578

r400_x-2.5_y2.5_R1.25,400,-2.5,2.5,1.25,99517156,99120288,96244475,97676362,95062565,93907982

r400_x-2.5_y2.5_R15,400,-2.5,2.5,15,99483453,99260765,96200876,97800946,95024397,94011511

r400_x-2.5_y5_R1.25,400,-2.5,5,1.25,101205695,99052578,94617537,99614133,94998691,92074896

r400_x-2.5_y5_R15,400,-2.5,5,15,101142547,99173832,94575403,99752941,94959596,92170079

r400_x0_y-5_R1.25,400,0,-5,1.25,93726604,96798921,100212383,93106682,96847010,100857489

r400_x0_y-5_R15,400,0,-5,15,93690987,96903123,100148325,93211222,96806241,100980711

r400_x0_y-2.5_R1.25,400,0,-2.5,1.25,95319959,96856338,98570410,94982323,96921977,98863043

r400_x0_y-2.5_R15,400,0,-2.5,15,95296558,96969489,98519130,95092351,96880688,98981659

r400_x0_y0_R1.25,400,0,0,1.25,96932574,96859852,96948303,96891893,96944018,96892194

r400_x0_y0_R15,400,0,0,15,96894274,97007370,96925789,96996028,96904778,97011012

r400_x0_y2.5_R1.25,400,0,2.5,1.25,98563893,96870539,95335744,98835710,96921763,94947089

r400_x0_y2.5_R15,400,0,2.5,15,98525629,96970549,95314079,98963502,96861557,95094289

r400_x0_y5_R1.25,400,0,5,1.25,100214047,96808360,93729653,100844790,96833792,93075883

r400_x0_y5_R15,400,0,5,15,100173386,96922965,93714061,100972501,96792254,93210224

r400_x2.5_y-5_R1.25,400,2.5,-5,1.25,92859725,94604291,99190867,94103809,98736431,102038725

r400_x2.5_y-5_R15,400,2.5,-5,15,92839140,94708426,99132803,94225272,98676176,102156282

r400_x2.5_y-2.5_R1.25,400,2.5,-2.5,1.25,94424250,94651098,97573420,96036890,98822524,99978634

r400_x2.5_y-2.5_R15,400,2.5,-2.5,15,94380062,94768406,97526495,96146579,98758651,100113869

r400_x2.5_y0_R1.25,400,2.5,0,1.25,95993607,94696593,95991251,97994772,98818004,97975351

r400_x2.5_y0_R15,400,2.5,0,15,95965678,94806294,95965757,98122683,98789923,98089300

r400_x2.5_y2.5_R1.25,400,2.5,2.5,1.25,97584728,94670482,94409297,100005173,98801995,96023994

r400_x2.5_y2.5_R15,400,2.5,2.5,15,97546500,94762285,94398728,100105682,98759193,96138528

r400_x2.5_y5_R1.25,400,2.5,5,1.25,99201705,94576213,92860247,102090682,98730160,94075754

r400_x2.5_y5_R15,400,2.5,5,15,99139867,94699706,92841243,102174898,98677868,94181285

r400_x5_y-5_R1.25,400,5,-5,1.25,91947181,92463336,98143783,95095013,100654160,103233248

r400_x5_y-5_R15,400,5,-5,15,91931312,92580271,98066655,95213754,100618337,103354162

r400_x5_y-2.5_R1.25,400,5,-2.5,1.25,93479658,92523620,96567520,97078149,100739480,101110859

r400_x5_y-2.5_R15,400,5,-2.5,15,93455059,92641686,96515923,97188251,100671024,101232538

r400_x5_y0_R1.25,400,5,0,1.25,95029976,92562876,94998448,99072162,100761865,99029952

r400_x5_y0_R15,400,5,0,15,94990610,92672847,94965015,99207489,100696901,99173186

r400_x5_y2.5_R1.25,400,5,2.5,1.25,96572763,92524023,93481214,101150076,100735795,97016453

r400_x5_y2.5_R15,400,5,2.5,15,96552424,92638335,93456995,101249704,100670743,97156970

r400_x5_y5_R1.25,400,5,5,1.25,98154728,92471035,91969261,103252475,100656337,95059018

r400_x5_y5_R15,400,5,5,15,98109084,92600882,91922926,103371211,100618717,95170627
